id,title,creator,date,location,image,source,subject
Q122834516,Julie Lebrun en baigneuse,Élisabeth Vigée Le Brun,1792,,https://commons.wikimedia.org/wiki/Special:FilePath/The%2520bather%252C%2520by%2520Vig%25C3%25A9e-Lebrun%252C%25201792.jpg,https://www.wikidata.org/wiki/Q122834516,Julie Le Brun
Q119449510,Prométhée élevé par le Génie et protégé par Minerve dérobe le feu au ciel,Jacques Réattu,1792,musée Réattu,https://commons.wikimedia.org/wiki/Special:FilePath/Jacques%2520R%25C3%25A9attu%252C%2520Prom%25C3%25A9th%25C3%25A9e%2520%25C3%25A9lev%25C3%25A9%2520au%2520ciel%2520par%2520le%2520G%25C3%25A9nie%2520de%2520la%2520Libert%25C3%25A9%2520et%2520prot%25C3%25A9g%25C3%25A9%2520par%2520Minerve.jpg,https://www.wikidata.org/wiki/Q119449510,Minerve
Q119497126,Orphée aux Enfers devant Pluton et Proserpine,Jacques Réattu,1792,musée Réattu,https://commons.wikimedia.org/wiki/Special:FilePath/Jacques%2520R%25C3%25A9attu%2520-%2520Orph%25C3%25A9e%2520aux%2520Enfers%2520devant%2520Pluton%2520et%2520Proserpine%252001.jpg,https://www.wikidata.org/wiki/Q119497126,Proserpine
Q122834523,,Élisabeth Vigée Le Brun,1792,,https://commons.wikimedia.org/wiki/Special:FilePath/Elisabeth%2520Vig%25C3%25A9e-Lebrun%2520-%2520Lady%2520Hamilton%2520as%2520the%2520Persian%2520Sibyl.jpg,https://www.wikidata.org/wiki/Q122834523,Emma Hamilton
Q122837296,"Madame Roland, née Philippon (1756-1793)",Johann Julius Heinsius,1792,,https://commons.wikimedia.org/wiki/Special:FilePath/Heinsius%2520-%2520Madame%2520Roland.jpg,https://www.wikidata.org/wiki/Q122837296,Manon Roland
Q21715965,,Jean-Louis Voille,1792,musée de l'Ermitage,https://commons.wikimedia.org/wiki/Special:FilePath/Elena%2520Pavlovna%2520of%2520Russia%2520as%2520child%2520by%2520J.L.Voille%2520%25281792%252C%2520Hermitage%2529.jpg,https://www.wikidata.org/wiki/Q21715965,Helena Pavlovna de Russie
Q52208559,,Jean-Laurent Mosnier,1792,Hatchlands Park,https://commons.wikimedia.org/wiki/Special:FilePath/Catherine%2520Eliza%2520Cobbe%2520Mosnier.jpg,https://www.wikidata.org/wiki/Q52208559,
Q83507891,Portrait de la comtesse Kagenek en Flore,Élisabeth Vigée Le Brun,1792,Fondation Bemberg,https://commons.wikimedia.org/wiki/Special:FilePath/Bemberg%2520Fondation%2520Toulouse%2520-%2520Portrait%2520de%2520la%2520comtesse%2520Kagenek%2520en%2520Flore%2520-%2520Elisabeth%2520Vig%25C3%25A9e-Lebrun%25201783%252075x62%2520HT%2520Inv.1128.jpg,https://www.wikidata.org/wiki/Q83507891,
Q123616091,,Augustin Dubourg,1792,,https://commons.wikimedia.org/wiki/Special:FilePath/Attributed%2520to%2520Augustin%2520Dubourg%2520-%2520Portrait%2520of%2520a%2520lady.png,https://www.wikidata.org/wiki/Q123616091,
Q117599633,Briséis enlevée à Achille (esquisse),Jean-Baptiste Frédéric Desmarais,1793,musée Fabre,,https://www.wikidata.org/wiki/Q117599633,Briséis
